2016-06-28 15:59:19,692 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 15:59:20,159 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 15:59:20,192 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 15:59:20,729 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 15:59:20,763 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 15:59:21,255 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 15:59:21,325 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 15:59:21,843 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 15:59:21,910 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 15:59:22,407 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 15:59:22,476 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 15:59:37,813 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 15:59:37,894 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 15:59:38,369 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 15:59:38,405 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 15:59:38,868 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 15:59:38,901 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 15:59:39,421 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 15:59:39,454 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 15:59:39,921 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 15:59:39,992 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
